# Baseline de excepções do gate layer-lint (AOS-178).
# Estas inversões de fronteira canónica foram identificadas na auditoria
# multiagente v3 (ARQ-01..05) e são excepções intencionais formalizadas no
# ADR-019. O gate continua a bloquear qualquer nova violação fora desta lista.
# Formato: pacote|importação # ADR-019

# ARQ-01: substrate/sandbox importa kernel/reference-monitor (RM).
github.com/aos-ref/substrate/sandbox|github.com/aos-ref/kernel/reference-monitor # ADR-019
github.com/aos-ref/substrate/sandbox/network|github.com/aos-ref/kernel/reference-monitor # ADR-019
github.com/aos-ref/substrate/sandbox/network|github.com/aos-ref/platform/audit # ADR-019

# ARQ-02/03: platform/* importa kernel/reference-monitor.
github.com/aos-ref/platform/broker|github.com/aos-ref/kernel/reference-monitor # ADR-019
github.com/aos-ref/platform/identity|github.com/aos-ref/kernel/reference-monitor # ADR-019
github.com/aos-ref/platform/audit|github.com/aos-ref/kernel/reference-monitor # ADR-019

# ARQ-02: platform/* importa kernel/agent-runtime (memory, registry, dr, model-gateway).
github.com/aos-ref/platform/memory/*|github.com/aos-ref/kernel/agent-runtime* # ADR-019
github.com/aos-ref/platform/registry|github.com/aos-ref/kernel/agent-runtime # ADR-019
github.com/aos-ref/platform/registry/*|github.com/aos-ref/kernel/agent-runtime* # ADR-019
github.com/aos-ref/platform/dr|github.com/aos-ref/kernel/agent-runtime/replay # ADR-019
github.com/aos-ref/platform/model-gateway|github.com/aos-ref/kernel/agent-runtime # ADR-019
github.com/aos-ref/platform/model-gateway/*|github.com/aos-ref/kernel/agent-runtime* # ADR-019

# ARQ-04: platform/model-gateway importa control-plane.
github.com/aos-ref/platform/model-gateway/routing/tieradapter|github.com/aos-ref/control-plane/scheduler # ADR-019
github.com/aos-ref/platform/model-gateway/metering/cost/budgetbridge|github.com/aos-ref/control-plane/budget # ADR-019

# ARQ-04: control-plane importa platform.
github.com/aos-ref/control-plane/orchestrator|github.com/aos-ref/platform/identity # ADR-019
github.com/aos-ref/control-plane/scheduler|github.com/aos-ref/platform/identity # ADR-019

# ARQ-05: inversões control-plane -> platform/substrate reveladas pela regra
# estrita do layer-lint (AOS-178). NÃO são dívida por resolver: o ADR-019 §2.5
# decidiu LEGITIMÁ-LAS na v1 single-host (o plano de controlo governa mas consome
# identidade/audit/messaging/eventstore/observabilidade da plataforma e do
# substrato). AOS-179 fechou-as por formalização, não por refactorização.
github.com/aos-ref/control-plane/*|github.com/aos-ref/platform/audit # ADR-019
github.com/aos-ref/control-plane/*|github.com/aos-ref/platform/messaging # ADR-019
github.com/aos-ref/control-plane/*|github.com/aos-ref/substrate/bus # ADR-019
github.com/aos-ref/control-plane/*|github.com/aos-ref/substrate/eventstore # ADR-019
github.com/aos-ref/control-plane/*|github.com/aos-ref/substrate/otel-genai # ADR-019
github.com/aos-ref/control-plane/*|github.com/aos-ref/substrate/redaction # ADR-019
